"","Feedingtype","Predatorlifestage","Location","Regressionslope","Regressionintercept","R2","Fvalue","pvalue"
"306","planktivorous","adult","Catalan Sea","NA","NA","NA","NA","NA"
"307","planktivorous","adult","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"308","planktivorous","adult","Eastern Mediterranean","1.5578783039798","-0.188526023745904","0.00077796106926157","0.0140142017500866","0.907076397953721"
"309","planktivorous","adult","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"310","planktivorous","adult","French Polynesian EEZ","10.2425928591287","0.0631832278723198","0.0480008709870067","6.85727355759357","0.00982944116500029"
"311","planktivorous","adult","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"312","planktivorous","adult","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"313","planktivorous","adult","Greenland","NA","NA","NA","NA","NA"
"314","planktivorous","adult","Gulf of Alaska","NA","NA","NA","NA","NA"
"315","planktivorous","adult","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"316","planktivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"317","planktivorous","adult","Mid Atlantic","NA","NA","NA","NA","NA"
"318","planktivorous","adult","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"319","planktivorous","adult","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"320","planktivorous","adult","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"321","planktivorous","adult","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"322","planktivorous","adult","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"323","planktivorous","adult","Strait of Georgia","NA","NA","NA","NA","NA"
"324","planktivorous","adult","W Greenland","NA","NA","NA","NA","NA"
"325","planktivorous","adult","Western North Pacific","NA","NA","NA","NA","NA"
"326","planktivorous","juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"327","planktivorous","juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"328","planktivorous","juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"329","planktivorous","juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"330","planktivorous","juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"331","planktivorous","juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"332","planktivorous","juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"333","planktivorous","juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"334","planktivorous","juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"335","planktivorous","juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"336","planktivorous","juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"337","planktivorous","juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"338","planktivorous","juvenile","Greenland","NA","NA","NA","NA","NA"
"339","planktivorous","juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"340","planktivorous","juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"341","planktivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"342","planktivorous","juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"343","planktivorous","juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"344","planktivorous","juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"345","planktivorous","juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"346","planktivorous","juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"347","planktivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"348","planktivorous","juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"349","planktivorous","juvenile","W Greenland","NA","NA","NA","NA","NA"
"350","planktivorous","juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"351","planktivorous","larva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"352","planktivorous","larva","Antarctic Peninsula","11.1598881317021","1.0207753817686","0.330043815585915","156.165271662108","2.07689904819009e-29"
"353","planktivorous","larva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"354","planktivorous","larva","Atlantic Ocean","NA","NA","NA","NA","NA"
"355","planktivorous","larva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"356","planktivorous","larva","Catalan Sea","-2.19426552537672","0.257653872395839","0.280072857461197","170.005867925651","4.70821273070676e-33"
"357","planktivorous","larva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"358","planktivorous","larva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"359","planktivorous","larva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"360","planktivorous","larva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"361","planktivorous","larva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"362","planktivorous","larva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"363","planktivorous","larva","Greenland","-3.83868606682441","0.258813702633504","0.0982205090743173","5.11917156349851","0.0283256454055264"
"364","planktivorous","larva","Gulf of Alaska","NA","NA","NA","NA","NA"
"365","planktivorous","larva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"366","planktivorous","larva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"367","planktivorous","larva","Mid Atlantic","NA","NA","NA","NA","NA"
"368","planktivorous","larva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"369","planktivorous","larva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"370","planktivorous","larva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"371","planktivorous","larva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"372","planktivorous","larva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"373","planktivorous","larva","Strait of Georgia","NA","NA","NA","NA","NA"
"374","planktivorous","larva","W Greenland","NA","NA","NA","NA","NA"
"375","planktivorous","larva","Western North Pacific","-3.44871842565978","0.161010317505003","0.0857054685549205","20.2477216817684","1.11138645151141e-05"
"376","planktivorous","larva / juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"377","planktivorous","larva / juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"378","planktivorous","larva / juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"379","planktivorous","larva / juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"380","planktivorous","larva / juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"381","planktivorous","larva / juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"382","planktivorous","larva / juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"383","planktivorous","larva / juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"384","planktivorous","larva / juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"385","planktivorous","larva / juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"386","planktivorous","larva / juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"387","planktivorous","larva / juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"388","planktivorous","larva / juvenile","Greenland","NA","NA","NA","NA","NA"
"389","planktivorous","larva / juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"390","planktivorous","larva / juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"391","planktivorous","larva / juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"392","planktivorous","larva / juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"393","planktivorous","larva / juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"394","planktivorous","larva / juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"395","planktivorous","larva / juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"396","planktivorous","larva / juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"397","planktivorous","larva / juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"398","planktivorous","larva / juvenile","Strait of Georgia","5.08312949598501","0.537539976546299","0.2383099678989","36.918661170477","1.55071505486178e-08"
"399","planktivorous","larva / juvenile","W Greenland","NA","NA","NA","NA","NA"
"400","planktivorous","larva / juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"401","planktivorous","postlarva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"402","planktivorous","postlarva","Antarctic Peninsula","NA","NA","NA","NA","NA"
"403","planktivorous","postlarva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"404","planktivorous","postlarva","Atlantic Ocean","NA","NA","NA","NA","NA"
"405","planktivorous","postlarva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"406","planktivorous","postlarva","Catalan Sea","NA","NA","NA","NA","NA"
"407","planktivorous","postlarva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"408","planktivorous","postlarva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"409","planktivorous","postlarva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"410","planktivorous","postlarva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"411","planktivorous","postlarva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"412","planktivorous","postlarva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"413","planktivorous","postlarva","Greenland","NA","NA","NA","NA","NA"
"414","planktivorous","postlarva","Gulf of Alaska","NA","NA","NA","NA","NA"
"415","planktivorous","postlarva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"416","planktivorous","postlarva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"417","planktivorous","postlarva","Mid Atlantic","NA","NA","NA","NA","NA"
"418","planktivorous","postlarva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"419","planktivorous","postlarva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"420","planktivorous","postlarva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"421","planktivorous","postlarva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"422","planktivorous","postlarva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"423","planktivorous","postlarva","Strait of Georgia","NA","NA","NA","NA","NA"
"424","planktivorous","postlarva","W Greenland","NA","NA","NA","NA","NA"
"425","planktivorous","postlarva","Western North Pacific","NA","NA","NA","NA","NA"
"426","planktivorous","postlarva/juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"427","planktivorous","postlarva/juvenile","Antarctic Peninsula","6.81310614810303","0.675479706794872","0.231238785388307","78.8080363840131","1.10590667174295e-16"
"428","planktivorous","postlarva/juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"429","planktivorous","postlarva/juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"430","planktivorous","postlarva/juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"431","planktivorous","postlarva/juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"432","planktivorous","postlarva/juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"433","planktivorous","postlarva/juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"434","planktivorous","postlarva/juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"435","planktivorous","postlarva/juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"436","planktivorous","postlarva/juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"437","planktivorous","postlarva/juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"438","planktivorous","postlarva/juvenile","Greenland","NA","NA","NA","NA","NA"
"439","planktivorous","postlarva/juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"440","planktivorous","postlarva/juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"441","planktivorous","postlarva/juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"442","planktivorous","postlarva/juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"443","planktivorous","postlarva/juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"444","planktivorous","postlarva/juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"445","planktivorous","postlarva/juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"446","planktivorous","postlarva/juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"447","planktivorous","postlarva/juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"448","planktivorous","postlarva/juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"449","planktivorous","postlarva/juvenile","W Greenland","NA","NA","NA","NA","NA"
"450","planktivorous","postlarva/juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"451","predacious","adult","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"452","predacious","adult","Antarctic Peninsula","NA","NA","NA","NA","NA"
"453","predacious","adult","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"454","predacious","adult","Atlantic Ocean","6.89914238491718","0.20589271769404","0.168513283612109","1031.15969277666","3.52233438036028e-206"
"455","predacious","adult","Cape Cod Bay, Gulf of Maine, New England","12.667694092929","0.0294846614061538","0.0302655879145218","0.436942554087641","0.519332318863778"
"456","predacious","adult","Catalan Sea","NA","NA","NA","NA","NA"
"457","predacious","adult","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"458","predacious","adult","Eastern Mediterranean","1.77465298135465","0.171119695188261","0.0232312986385009","5.18487447041862","0.0237546050509434"
"459","predacious","adult","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"460","predacious","adult","French Polynesian EEZ","9.75686769613354","-0.0138206603455187","0.00181756641442428","3.62354319511697","0.0571115661405521"
"461","predacious","adult","Great Channel South, Gulf of Maine, New England","12.5263754272109","0.357253501132582","0.197889961568321","5.42765823379468","0.0293962572369465"
"462","predacious","adult","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"463","predacious","adult","Greenland","NA","NA","NA","NA","NA"
"464","predacious","adult","Gulf of Alaska","NA","NA","NA","NA","NA"
"465","predacious","adult","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"466","predacious","adult","Jeffreys Ledge, Gulf of Maine, New England","11.7555841576777","-0.0283090245871117","0.00621738162868263","0.218969775664344","0.642726920235099"
"467","predacious","adult","Mid Atlantic","3.76625484911866","0.358208680187524","0.657742185314355","69.1838656571366","6.6732870735388e-10"
"468","predacious","adult","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"469","predacious","adult","Off the Bay of Biscay","10.4197372146788","0.203506978120733","0.0873452550974306","45.0768654638197","5.46572575916836e-11"
"470","predacious","adult","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"471","predacious","adult","South of Marthas Vineyard, New England","10.1808028012821","0.0583894765003333","0.00265210461319652","0.0717972383433311","0.790774221951632"
"472","predacious","adult","Stellwagen Bank, Gulf of Maine, New England","12.6221600511456","0.182768954519519","0.206194400151178","1.29877138804795","0.306072332500695"
"473","predacious","adult","Strait of Georgia","NA","NA","NA","NA","NA"
"474","predacious","adult","W Greenland","NA","NA","NA","NA","NA"
"475","predacious","adult","Western North Pacific","NA","NA","NA","NA","NA"
"476","predacious","juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"477","predacious","juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"478","predacious","juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"479","predacious","juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"480","predacious","juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"481","predacious","juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"482","predacious","juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"483","predacious","juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"484","predacious","juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"485","predacious","juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"486","predacious","juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"487","predacious","juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"488","predacious","juvenile","Greenland","NA","NA","NA","NA","NA"
"489","predacious","juvenile","Gulf of Alaska","0.951822279780522","0.0397576284666678","0.240623932316181","12.9916936348212","0.000839430679453018"
"490","predacious","juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"491","predacious","juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"492","predacious","juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"493","predacious","juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"494","predacious","juvenile","Off the Bay of Biscay","8.62335338724469","7.45851832490177e-16","0.500138266010441","600.331930214392","0.488887342396176"
"495","predacious","juvenile","Oxwich Bay, Wales","-0.594631029295351","0.0778070237368163","0.0805459740919785","115.021372469739","8.77947893508722e-26"
"496","predacious","juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"497","predacious","juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"498","predacious","juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"499","predacious","juvenile","W Greenland","-1.7994463105477","0.0432429593286009","0.148366503387041","24.3899641768384","2.20823681054519e-06"
"500","predacious","juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"501","predacious","larva","Andaman Sea (West of South Thailand)","7.00529694337676","0.941421745921814","0.412420670135113","22.4607312979481","4.23336436449331e-05"
"502","predacious","larva","Antarctic Peninsula","7.41883913802823","0.724801160896602","0.637066906559136","1662.29636099526","1.22794430266837e-210"
"503","predacious","larva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"504","predacious","larva","Atlantic Ocean","NA","NA","NA","NA","NA"
"505","predacious","larva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"506","predacious","larva","Catalan Sea","NA","NA","NA","NA","NA"
"507","predacious","larva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"508","predacious","larva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"509","predacious","larva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"510","predacious","larva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"511","predacious","larva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"512","predacious","larva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"513","predacious","larva","Greenland","NA","NA","NA","NA","NA"
"514","predacious","larva","Gulf of Alaska","NA","NA","NA","NA","NA"
"515","predacious","larva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"516","predacious","larva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"517","predacious","larva","Mid Atlantic","NA","NA","NA","NA","NA"
"518","predacious","larva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"519","predacious","larva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"520","predacious","larva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"521","predacious","larva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"522","predacious","larva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"523","predacious","larva","Strait of Georgia","NA","NA","NA","NA","NA"
"524","predacious","larva","W Greenland","NA","NA","NA","NA","NA"
"525","predacious","larva","Western North Pacific","-2.66286554355492","0.150488902922313","0.146191921213292","38.8677115383766","2.18738751251497e-09"
"526","predacious","larva / juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"527","predacious","larva / juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"528","predacious","larva / juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"529","predacious","larva / juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"530","predacious","larva / juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"531","predacious","larva / juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"532","predacious","larva / juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"533","predacious","larva / juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"534","predacious","larva / juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"535","predacious","larva / juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"536","predacious","larva / juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"537","predacious","larva / juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"538","predacious","larva / juvenile","Greenland","NA","NA","NA","NA","NA"
"539","predacious","larva / juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"540","predacious","larva / juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"541","predacious","larva / juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"542","predacious","larva / juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"543","predacious","larva / juvenile","NE North Sea and Skaggerak","10.4119448445479","1.09890063283713","0.715421579592819","47.7654278662958","1.36957984453215e-06"
"544","predacious","larva / juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"545","predacious","larva / juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"546","predacious","larva / juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"547","predacious","larva / juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"548","predacious","larva / juvenile","Strait of Georgia","3.58794771931324","0.510273652134306","0.422183530433424","339.023147381122","3.08809542053746e-57"
"549","predacious","larva / juvenile","W Greenland","NA","NA","NA","NA","NA"
"550","predacious","larva / juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"551","predacious","postlarva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"552","predacious","postlarva","Antarctic Peninsula","-1.61375195212254","0.15403834606651","0.109207422360888","8.58170550266892","0.00458060708606845"
"553","predacious","postlarva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"554","predacious","postlarva","Atlantic Ocean","NA","NA","NA","NA","NA"
"555","predacious","postlarva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"556","predacious","postlarva","Catalan Sea","NA","NA","NA","NA","NA"
"557","predacious","postlarva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"558","predacious","postlarva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"559","predacious","postlarva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"560","predacious","postlarva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"561","predacious","postlarva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"562","predacious","postlarva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"563","predacious","postlarva","Greenland","NA","NA","NA","NA","NA"
"564","predacious","postlarva","Gulf of Alaska","NA","NA","NA","NA","NA"
"565","predacious","postlarva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"566","predacious","postlarva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"567","predacious","postlarva","Mid Atlantic","NA","NA","NA","NA","NA"
"568","predacious","postlarva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"569","predacious","postlarva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"570","predacious","postlarva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"571","predacious","postlarva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"572","predacious","postlarva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"573","predacious","postlarva","Strait of Georgia","NA","NA","NA","NA","NA"
"574","predacious","postlarva","W Greenland","NA","NA","NA","NA","NA"
"575","predacious","postlarva","Western North Pacific","NA","NA","NA","NA","NA"
"576","predacious","postlarva/juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"577","predacious","postlarva/juvenile","Antarctic Peninsula","1.6671459067788","0.21164969664339","0.14416882005629","99.0513879135297","1.13623625843033e-21"
"578","predacious","postlarva/juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"579","predacious","postlarva/juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"580","predacious","postlarva/juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"581","predacious","postlarva/juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"582","predacious","postlarva/juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"583","predacious","postlarva/juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"584","predacious","postlarva/juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"585","predacious","postlarva/juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"586","predacious","postlarva/juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"587","predacious","postlarva/juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"588","predacious","postlarva/juvenile","Greenland","NA","NA","NA","NA","NA"
"589","predacious","postlarva/juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"590","predacious","postlarva/juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"591","predacious","postlarva/juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"592","predacious","postlarva/juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"593","predacious","postlarva/juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"594","predacious","postlarva/juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"595","predacious","postlarva/juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"596","predacious","postlarva/juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"597","predacious","postlarva/juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"598","predacious","postlarva/juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"599","predacious","postlarva/juvenile","W Greenland","NA","NA","NA","NA","NA"
"600","predacious","postlarva/juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"601","predacious/piscivorous","adult","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"602","predacious/piscivorous","adult","Antarctic Peninsula","NA","NA","NA","NA","NA"
"603","predacious/piscivorous","adult","Apalachicola Bay, Florida","4.72504035144858","0.621895377669317","0.384283752048305","34.9509862477974","2.11324894527802e-07"
"604","predacious/piscivorous","adult","Atlantic Ocean","NA","NA","NA","NA","NA"
"605","predacious/piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"606","predacious/piscivorous","adult","Catalan Sea","NA","NA","NA","NA","NA"
"607","predacious/piscivorous","adult","Crooked Island Sound, Florida","4.79484784084579","0.50644882649248","0.293713022751524","42.0013624114544","3.37813443070404e-09"
"608","predacious/piscivorous","adult","Eastern Mediterranean","NA","NA","NA","NA","NA"
"609","predacious/piscivorous","adult","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"610","predacious/piscivorous","adult","French Polynesian EEZ","NA","NA","NA","NA","NA"
